                  trigger_name                   | event_manipulation |       event_object_table       |                       action_statement                       
 trg_audit_partner_allowed_products              | UPDATE             | partner_allowed_products       | EXECUTE FUNCTION log_sensitive_changes()
 trg_audit_partner_allowed_products              | DELETE             | partner_allowed_products       | EXECUTE FUNCTION log_sensitive_changes()
 trg_audit_partner_allowed_products              | INSERT             | partner_allowed_products       | EXECUTE FUNCTION log_sensitive_changes()
 trg_update_timestamp_partners                   | UPDATE             | partners                       | EXECUTE FUNCTION update_updated_at()
 trg_protect_partners                            | INSERT             | partners                       | EXECUTE FUNCTION protect_partners()
 trg_audit_partners                              | INSERT             | partners                       | EXECUTE FUNCTION log_sensitive_changes()
 trg_audit_partners                              | DELETE             | partners                       | EXECUTE FUNCTION log_sensitive_changes()
 trg_audit_partners                              | UPDATE             | partners                       | EXECUTE FUNCTION log_sensitive_changes()
 trg_protect_partners                            | UPDATE             | partners                       | EXECUTE FUNCTION protect_partners()
 trg_brand_isolation_payment_receipts            | INSERT             | payment_receipts               | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_tenant_payment_receipts                | INSERT             | payment_receipts               | EXECUTE FUNCTION auto_set_tenant_id()
 trg_auto_company_payment_receipts               | INSERT             | payment_receipts               | EXECUTE FUNCTION auto_set_company_id()
 trg_brand_isolation_payment_receipts            | UPDATE             | payment_receipts               | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_company_payment_vouchers               | INSERT             | payment_vouchers               | EXECUTE FUNCTION auto_set_company_id()
 trg_auto_tenant_payment_vouchers                | INSERT             | payment_vouchers               | EXECUTE FUNCTION auto_set_tenant_id()
 trg_brand_isolation_payment_vouchers            | UPDATE             | payment_vouchers               | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_payment_vouchers            | INSERT             | payment_vouchers               | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_company_product_categories             | INSERT             | product_categories             | EXECUTE FUNCTION auto_set_company_id()
 trigger_set_tenant_product_categories           | INSERT             | product_categories             | EXECUTE FUNCTION set_tenant_from_company()
 trg_brand_isolation_product_categories          | UPDATE             | product_categories             | EXECUTE FUNCTION enforce_brand_isolation()
 trigger_set_tenant_product_categories           | UPDATE             | product_categories             | EXECUTE FUNCTION set_tenant_from_company()
 trg_auto_tenant_product_categories              | INSERT             | product_categories             | EXECUTE FUNCTION auto_set_tenant_id()
 trg_brand_isolation_product_categories          | INSERT             | product_categories             | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_products                    | UPDATE             | products                       | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_company_products                       | INSERT             | products                       | EXECUTE FUNCTION auto_set_company_id()
 trg_auto_tenant_products                        | INSERT             | products                       | EXECUTE FUNCTION auto_set_tenant_id()
 trg_brand_isolation_products                    | INSERT             | products                       | EXECUTE FUNCTION enforce_brand_isolation()
 trg_update_timestamp_products                   | UPDATE             | products                       | EXECUTE FUNCTION update_updated_at()
 trg_brand_isolation_purchase_invoice_items      | UPDATE             | purchase_invoice_items         | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_fill_pii_tenant                        | INSERT             | purchase_invoice_items         | EXECUTE FUNCTION auto_fill_purchase_invoice_item_tenant()
 trg_auto_tenant_purchase_invoice_items          | INSERT             | purchase_invoice_items         | EXECUTE FUNCTION auto_set_tenant_id()
 trg_brand_isolation_purchase_invoice_items      | INSERT             | purchase_invoice_items         | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_company_purchase_invoices              | INSERT             | purchase_invoices              | EXECUTE FUNCTION auto_set_company_id()
 trg_purchase_invoice_stage                      | UPDATE             | purchase_invoices              | EXECUTE FUNCTION update_document_stage()
 trg_purchase_invoice_stage                      | INSERT             | purchase_invoices              | EXECUTE FUNCTION update_document_stage()
 trg_brand_isolation_purchase_invoices           | UPDATE             | purchase_invoices              | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_purchase_invoices           | INSERT             | purchase_invoices              | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_tenant_purchase_invoices               | INSERT             | purchase_invoices              | EXECUTE FUNCTION auto_set_tenant_id()
 trg_auto_fill_poi_tenant                        | INSERT             | purchase_order_items           | EXECUTE FUNCTION auto_fill_purchase_order_item_tenant()
 trg_auto_company_purchase_orders                | INSERT             | purchase_orders                | EXECUTE FUNCTION auto_set_company_id()
 trg_brand_isolation_purchase_orders             | UPDATE             | purchase_orders                | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_purchase_orders             | INSERT             | purchase_orders                | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_tenant_purchase_orders                 | INSERT             | purchase_orders                | EXECUTE FUNCTION auto_set_tenant_id()
 trg_auto_company_purchase_quotation_items       | INSERT             | purchase_quotation_items       | EXECUTE FUNCTION auto_set_company_id()
 trg_brand_isolation_purchase_quotation_items    | UPDATE             | purchase_quotation_items       | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_purchase_quotation_items    | INSERT             | purchase_quotation_items       | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_tenant_purchase_quotation_items        | INSERT             | purchase_quotation_items       | EXECUTE FUNCTION auto_set_tenant_id()
 trg_brand_isolation_purchase_request_items      | UPDATE             | purchase_request_items         | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_company_purchase_request_items         | INSERT             | purchase_request_items         | EXECUTE FUNCTION auto_set_company_id()
 trg_auto_tenant_purchase_request_items          | INSERT             | purchase_request_items         | EXECUTE FUNCTION auto_set_tenant_id()
