type,from_table,from_col,to_table,to_col,constraint_name
FK,inventory_movements,company_id,companies,id,fk_movement_company
FK,inventory_movements,tenant_id,tenants,id,fk_movement_tenant
FK,journal_entries,company_id,companies,id,journal_entries_company_id_fkey
FK,journal_entries,original_entry_id,journal_entries,id,journal_entries_original_entry_id_fkey
FK,journal_entries,reversal_entry_id,journal_entries,id,journal_entries_reversal_entry_id_fkey
FK,journal_entries,period_id,accounting_periods,id,journal_entries_period_id_fkey
FK,journal_entries,fiscal_year_id,fiscal_years,id,journal_entries_fiscal_year_id_fkey
FK,journal_entries,branch_id,branches,id,journal_entries_branch_id_fkey
FK,journal_entries,tenant_id,tenants,id,journal_entries_tenant_id_fkey
FK,journal_entry_lines,entry_id,journal_entries,id,journal_entry_lines_entry_id_fkey
FK,journal_entry_lines,account_id,chart_of_accounts,id,journal_entry_lines_account_id_fkey
FK,mfa_company_settings,tenant_id,tenants,id,mfa_company_settings_tenant_id_fkey
FK,mfa_company_settings,company_id,companies,id,mfa_company_settings_company_id_fkey
FK,notification_preferences,user_id,user_profiles,id,notification_preferences_user_id_fkey
FK,notifications,tenant_id,tenants,id,notifications_tenant_id_fkey
FK,order_items,order_id,orders,id,order_items_order_id_fkey
FK,order_items,product_id,products,id,order_items_product_id_fkey
FK,order_items,company_id,companies,id,order_items_company_id_fkey
FK,order_items,tenant_id,tenants,id,order_items_tenant_id_fkey
FK,orders,customer_id,customers,id,orders_customer_id_fkey
FK,orders,tenant_id,tenants,id,orders_tenant_id_fkey
FK,orders,company_id,companies,id,orders_company_id_fkey
FK,orders,cart_id,shopping_carts,id,orders_cart_id_fkey
FK,orders,guest_checkout_id,guest_checkouts,id,orders_guest_checkout_id_fkey
FK,partner_allowed_products,partner_id,partners,id,partner_allowed_products_partner_id_fkey
FK,partner_allowed_products,product_id,saas_products,id,partner_allowed_products_product_id_fkey
FK,payment_receipts,tenant_id,tenants,id,fk_receipt_tenant
FK,payment_receipts,journal_entry_id,journal_entries,id,payment_receipts_journal_entry_id_fkey
FK,payment_receipts,company_id,companies,id,fk_receipt_company
FK,payment_vouchers,customer_id,customers,id,payment_vouchers_customer_id_fkey
FK,payment_vouchers,purchase_invoice_id,purchase_invoices,id,payment_vouchers_purchase_invoice_id_fkey
FK,payment_vouchers,journal_entry_id,journal_entries,id,payment_vouchers_journal_entry_id_fkey
FK,payment_vouchers,shipment_id,shipments,id,payment_vouchers_shipment_id_fkey
FK,payment_vouchers,tenant_id,tenants,id,fk_voucher_tenant
FK,payment_vouchers,company_id,companies,id,fk_voucher_company
