function_name,routine_type,return_type,language
get_user_allowed_modules,FUNCTION,record,PLPGSQL
get_user_brand_id,FUNCTION,uuid,PLPGSQL
get_user_companies,FUNCTION,record,PLPGSQL
get_user_company_id,FUNCTION,uuid,PLPGSQL
get_user_full_permissions,FUNCTION,jsonb,PLPGSQL
get_user_module_permissions,FUNCTION,record,PLPGSQL
get_user_permissions,FUNCTION,jsonb,PLPGSQL
get_user_product_id,FUNCTION,uuid,PLPGSQL
get_user_role_level,FUNCTION,text,PLPGSQL
get_user_roles,FUNCTION,record,PLPGSQL
get_user_tenant_id,FUNCTION,uuid,PLPGSQL
get_user_visible_modules,FUNCTION,ARRAY,PLPGSQL
get_warehouse_settings,FUNCTION,jsonb,PLPGSQL
get_workflow_settings,FUNCTION,jsonb,PLPGSQL
handle_new_company,FUNCTION,trigger,PLPGSQL
increment_reserved_quantity,FUNCTION,void,PLPGSQL
is_admin_user,FUNCTION,boolean,PLPGSQL
is_company_admin,FUNCTION,boolean,PLPGSQL
is_customer,FUNCTION,boolean,PLPGSQL
is_mfa_enabled_for_user,FUNCTION,boolean,PLPGSQL
is_mfa_required,FUNCTION,boolean,PLPGSQL
is_partner_or_reseller,FUNCTION,boolean,PLPGSQL
is_platform_admin,FUNCTION,boolean,PLPGSQL
is_platform_owner,FUNCTION,boolean,PLPGSQL
is_reseller,FUNCTION,boolean,PLPGSQL
is_same_brand,FUNCTION,boolean,PLPGSQL
is_super_admin,FUNCTION,boolean,PLPGSQL
is_super_admin,FUNCTION,boolean,PLPGSQL
is_tenant_admin,FUNCTION,boolean,PLPGSQL
is_tenant_owner,FUNCTION,boolean,PLPGSQL
is_whitelabel_partner,FUNCTION,boolean,PLPGSQL
link_existing_customer_to_auth,FUNCTION,boolean,PLPGSQL
link_user_to_tenant,FUNCTION,uuid,PLPGSQL
log_audit,FUNCTION,uuid,PLPGSQL
log_sensitive_changes,FUNCTION,trigger,PLPGSQL
merge_carts,FUNCTION,jsonb,PLPGSQL
move_account_to_parent,FUNCTION,boolean,PLPGSQL
notify_n8n_webhook,FUNCTION,trigger,PLPGSQL
on_company_created,FUNCTION,trigger,PLPGSQL
on_tenant_created,FUNCTION,trigger,PLPGSQL
post_journal_entry,FUNCTION,boolean,PLPGSQL
post_purchase_invoice,FUNCTION,jsonb,PLPGSQL
post_purchase_receipt,FUNCTION,jsonb,PLPGSQL
post_purchase_return,FUNCTION,jsonb,PLPGSQL
post_sales_invoice,FUNCTION,jsonb,PLPGSQL
post_sales_return,FUNCTION,jsonb,PLPGSQL
prevent_base_currency_change,FUNCTION,trigger,PLPGSQL
prevent_delete_if_referenced,FUNCTION,trigger,PLPGSQL
prevent_settings_base_currency_change,FUNCTION,trigger,PLPGSQL
process_due_recurring_entries,FUNCTION,jsonb,PLPGSQL
process_shipment_api_response,FUNCTION,jsonb,PLPGSQL
propagate_templates_to_all_tenants,FUNCTION,record,PLPGSQL
protect_companies,FUNCTION,trigger,PLPGSQL
protect_company_fields,FUNCTION,trigger,PLPGSQL
protect_partners,FUNCTION,trigger,PLPGSQL
protect_role_assignments,FUNCTION,trigger,PLPGSQL
protect_sensitive_user_fields,FUNCTION,trigger,PLPGSQL
protect_super_admins,FUNCTION,trigger,PLPGSQL
protect_tenant_fields,FUNCTION,trigger,PLPGSQL
protect_tenants,FUNCTION,trigger,PLPGSQL
protect_user_profile_fields,FUNCTION,trigger,PLPGSQL
protect_user_profiles,FUNCTION,trigger,PLPGSQL
protect_user_roles,FUNCTION,trigger,PLPGSQL
record_payment,FUNCTION,jsonb,PLPGSQL
register_customer,FUNCTION,jsonb,PLPGSQL
register_new_subscriber,FUNCTION,jsonb,PLPGSQL
register_white_label_payment,FUNCTION,jsonb,PLPGSQL
reject_recurring_entry,FUNCTION,jsonb,PLPGSQL
reject_review,FUNCTION,jsonb,PLPGSQL
remove_from_cart,FUNCTION,boolean,PLPGSQL
remove_module_from_plan,FUNCTION,jsonb,PLPGSQL
remove_product_image,FUNCTION,boolean,PLPGSQL
renew_subscription,FUNCTION,jsonb,PLPGSQL
reorder_product_images,FUNCTION,boolean,PLPGSQL
round_amount,FUNCTION,numeric,PLPGSQL
round_amount_for_company,FUNCTION,numeric,PLPGSQL
save_guest_checkout,FUNCTION,jsonb,PLPGSQL
save_report_result,FUNCTION,uuid,PLPGSQL
schedule_expiry_notifications,FUNCTION,void,PLPGSQL
set_company_tenant_from_sample_cutting,FUNCTION,trigger,PLPGSQL
