trigger_name,event,table_name,timing,action_statement
trg_brand_isolation_product_categories,UPDATE,product_categories,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trigger_set_tenant_product_categories,UPDATE,product_categories,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_product_categories,INSERT,product_categories,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trg_auto_company_products,INSERT,products,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_products,INSERT,products,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_products,UPDATE,products,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_products,INSERT,products,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_update_timestamp_products,UPDATE,products,BEFORE,EXECUTE FUNCTION update_updated_at()
trg_auto_fill_pii_tenant,INSERT,purchase_invoice_items,BEFORE,EXECUTE FUNCTION auto_fill_purchase_invoice_item_tenant()
trg_auto_tenant_purchase_invoice_items,INSERT,purchase_invoice_items,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_purchase_invoice_items,UPDATE,purchase_invoice_items,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_purchase_invoice_items,INSERT,purchase_invoice_items,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_auto_company_purchase_invoices,INSERT,purchase_invoices,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_purchase_invoices,INSERT,purchase_invoices,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_purchase_invoices,UPDATE,purchase_invoices,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_purchase_invoices,INSERT,purchase_invoices,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_auto_fill_poi_tenant,INSERT,purchase_order_items,BEFORE,EXECUTE FUNCTION auto_fill_purchase_order_item_tenant()
trg_auto_company_purchase_orders,INSERT,purchase_orders,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_purchase_orders,INSERT,purchase_orders,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_purchase_orders,INSERT,purchase_orders,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_purchase_orders,UPDATE,purchase_orders,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_auto_company_purchase_quotation_items,INSERT,purchase_quotation_items,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_purchase_quotation_items,INSERT,purchase_quotation_items,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_purchase_quotation_items,INSERT,purchase_quotation_items,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_purchase_quotation_items,UPDATE,purchase_quotation_items,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_auto_company_purchase_request_items,INSERT,purchase_request_items,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_purchase_request_items,INSERT,purchase_request_items,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_purchase_request_items,UPDATE,purchase_request_items,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_purchase_request_items,INSERT,purchase_request_items,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_auto_company_purchase_return_items,INSERT,purchase_return_items,BEFORE,EXECUTE FUNCTION auto_set_company_id()
